"key","message","comment","context"
"Amount","Montante",,
"Auto","Auto",,
"Bank","Banco",,
"Base","Base",,
"Best","Melhor",,
"Both","Ambos",,
"Calculation Date",,,
"Cash management","Administração de caixa",,
"Comments","Comentários",,
"Company","Empresa",,
"Configuration","Configuração",,
"Confirmed","Confirmado",,
"Currency","Moeda",,
"Current balance","Saldo atual",,
"Customers payment delay (Average in days)","Prazo de pagamento dos clientes (Média em dias)",,
"Date","Data",,
"Details","Detalhes",,
"Display","Exibição",,
"Ending Balance","Saldo Final",,
"Estimated date","Data estimada",,
"Estimated payment date","Data estimada de pagamento",,
"Expected","Previsto",,
"Expense",,,
"Forecast","Previsão",,
"Forecast Assistant","Assistente de Previsões",,
"Forecast Assistants","Assistentes de previsão",,
"Forecast Reasons","Razões da previsão",,
"Forecast Recap","Reformulação da previsão",,
"Forecast Recaps","Previsões reformuladas",,
"Forecast Report","Relatório de previsão",,
"Forecast Reports","Relatórios de previsão",,
"Forecast generator","Gerador de previsões",,
"Forecast reason","Motivo da previsão",,
"Forecast reasons","Razões de previsão",,
"Forecast recap","Reformulação da previsão",,
"ForecastLine.amount",,,
"ForecastLine.balance",,,
"ForecastLine.estimatedDate",,,
"ForecastLine.relatedToName",,,
"ForecastLine.type",,,
"ForecastLineType.in",,,
"ForecastLineType.out",,,
"ForecastOpportunitiesType.base",,,
"ForecastOpportunitiesType.best",,,
"ForecastOpportunitiesType.no",,,
"ForecastOpportunitiesType.worst",,,
"ForecastRecap","ForecastRecap",,
"ForecastRecap.bankDetailsIban",,,
"ForecastRecap.calculationDate",,,
"ForecastRecap.company",,,
"ForecastRecap.currency",,,
"ForecastRecap.endingBalance",,,
"ForecastRecap.fromDate",,,
"ForecastRecap.operationDetails",,,
"ForecastRecap.opportunitiesTypeSelect",,,
"ForecastRecap.startingBalance",,,
"ForecastRecap.title",,,
"ForecastRecap.toDate",,,
"ForecastRecapLine.balance",,,
"Forecasts","Previsões",,
"Forecasts generated","Previsões geradas",,
"From","De",,
"Generate","Gerar",,
"Invalid dates","Datas inválidas",,
"Invoice",,,
"Is report","É relatório",,
"Line","Linha",,
"Lines","Linhas",,
"Marges","Marges",,
"No","Não",,
"Payment delay (Average)","Prazo de pagamento (médio)",,
"Periodicity","Periodicidade",,
"Please select a company","Selecione uma empresa",,
"Populate","População",,
"Previsional Marges","Margens Previsionais",,
"Previsional Sales","Vendas Previsionais",,
"Previsional Spending","Gastos Previsionais",,
"Print",,,
"Purchase order",,,
"Realized","Realizado",,
"Reason","Razão",,
"Related to",,,
"Related to select",,,
"Sale order",,,
"Sales","Vendas",,
"SalesMan","SalesMan",,
"Seq.",,,
"Spending","Gastos",,
"Starting Balance","Saldo inicial",,
"Suppliers payment delay (Average in days)","Prazo de pagamento dos fornecedores (Média em dias)",,
"Take into account opportunies","Ter em conta as oportunidades",,
"The company %s doesn't have any configured sequence for ForcastRecap",,,
"To","Para",,
"Type","Tipo de",,
"Update","Atualização",,
"Worst","Pior",,
"Yes","Sim",,
"value:Cash management","value:Administração de caixa",,
