key,message,comment,context
33000000000,,,
33100000000,,,
33600000000,,,
<a class='fa fa-facebook' href='http://www.facebook.com' target='_blank' />,,,
<a class='fa fa-google' href='http://www.google.com' target='_blank' />,,,
<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />,,,
<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />,,,
<a class='fa fa-youtube' href='http://www.youtube.com' target='_blank' />,,,
<span class='label label-warning'>Invalid IBAN</span>,,,
<span class='label label-warning'>There is already a partner with this name.</span>,,,
Account config,,,
Account type,,,
Accounting,,,
Accounting details,,,
Accounting situation,,,
Accounts,,,
Actions,,,
Activities,,,
Address,,,
Address details,,,
Address is Missing,,,
Addresses,,,
Advance payment invoice,,,
Advance payments,,,
All Accounts,,,
All Companies,,,
All Contacts,,,
All Invoices,,,
All Parties,,,
Amount due,,,
Analytics,,,
Are you sure you want to cancel the invoice ?,,,
Are you sure you want to ventilate the invoice ?,,,
Article dimension,,,
Assigned to,,,
Automatic mail,,,
Awaiting PFP,,,
BBAN,,,
Balance,,,
Balance invoice,,,
Bank details,,,
Bank payment config,,,
Barcode,,,
Blockings,,,
Budget,,,
Business Project,,,
Business project,,,
CGST,,,
CRM config,,,
Cancel,,,
Cancel invoice n°,,,
Canceled Invocies,,,
Canceled Invoices,,,
Carrier,,,
Catalog,,,
Categorization,,,
Check Duplicate,,,
Choose,,,
Cities,,,
City,,,
Civility,,,
Client portal access,,,
Code,,,
Companies,,,
Company,,,
Company currency,,,
Configuration,,,
Configurations,,,
Configurator,,,
Contact,,,
Contact Details,,,
Contact address,,,
Contact details,,,
Contacts,,,
Content,,,
Contract closing invoice,,,
Contract invoice,,,
Convert into an individual partner,,,
Costs,,,
Countries,,,
Country,,,
Current,,,
Cust. Invoices,,,
Customer,,,
Customer Situation,,,
Customer catalog,,,
Customer refund,,,
Customer sale,,,
Customised,,,
Date,,,
Dates,,,
Debit_block,,,
Debt recovery blocking,,,
Default,,,
Delivery,,,
Delivery address,,,
Demography,,,
Description,,,
Description to display on delivery,,,
Description to display on invoice,,,
Description to display on purchase order,,,
Description to display on sale order,,,
Direct debit,,,
Direct debit blocking,,,
Discount,,,
Do not shift into irrecoverable,,,
Draft,,,
Draft Invocies,,,
Draft Invoices,,,
Email,,,
Emails,,,
Employee,,,
Envelope,,,
Factor,,,
Factorized customer,,,
Filter on supplier,,,
First name,,,
Fixed Assets,,,
Freight Carrier,,,
Freight Carrier Mode,,,
Future qty,,,
GST,GST,,GST
GST Tax configuration is missing for Product: %s (company: %s). So we are using Product GstRate,,,
GSTIN,GSTIn,,GSTIn
General contact details,,,
Generate product variants,,,
Generate refund,,,
Get direction,,,
Gst Rate,,,
Gstin,GSTIn,,GSTIn
HSBN,HSBN,,
Human Resources config,,,
IBAN / BBAN,,,
IFS Code,,,
IGST,IGST,,IGST
Imputed on,,,
Information,,,
Informations,,,
Internal description,,,
Inv. on,,,
Inv._block,,,
Invoice,,,
Invoice content,,,
Invoice line,,,
Invoice lines,,,
Invoice.netCgst,,,Net Cgst
Invoice.netIgst,,,Net Igst
Invoice.netSgst,,,Net Sgst
Invoices copy,,,
Invoicing address,,,
Invoicing informations,,,
Invoicing/Payment,,,
Irrecoverable,,,
Links,,,
Litigation,,,
Localization,,,
Main company,,,
Map,,,
Mass,,,
Merge duplicated,,,
Modules configurations,,,
Multiple quantities,,,
Name,,,
Net Cgst,Net Cgst,,
Net Igst,Net IGST,,
Net Sgst,Net SGST,,
New Invoice,,,
Notes,,,
"Notice: The Zip/City
        field is automatically filled
        when the city is selected. You can
        change it when the
        Zip/City pair is missing or in case of
        minor
        change.",,,
"Notice: The Zip/City field is automatically filled when the city is selected. You can change it when
        the Zip/City pair is missing or in case of minor change.",,,
Open employee form,,,
Order Bloqued Message,,,
Other,,,
Other Taxes,,,
Other on,,,
Overview,,,
Owner,,,
PFP validated,,,
Pack Lines,,,
Pack lines,,,
Packing,,,
Paid on,,,
Parties,,,
Partner,,,
Partner Details,,,
Partner Type,,,
Partner code,,,
Partners,,,
Party,,,
Passed for payment validation,,,
Payment schedule,,,
Payments details,,,
Pick list,,,
Postal addresses,,,
Primary,,,
Print,,,
Print annex,,,
Printing,,,
Priority,,,
Procurement settings,,,
Product,,,
Product Categories,,,
Product categories,,,
Product category,,,
Product dates,,,
Product sheet,,,
Product specific attributes,,,
Product typology,,,
Production config,,,
Production information,,,
Products,,,
Proforma,,,
Prospect,,,
Purch._block,,,
Purchase config,,,
Purchase/Costs,,,
Purchases,,,
QAS certification,,,
Real qty,,,
Ref. on,,,
Reference documents,,,
Refund,,,
Refusal to pay,,,
Register payment,,,
Reimb._block,,,
Related tasks,,,
Remin._block,,,
Reports,,,
SGST,,,
Sale,,,
Sale config,,,
Sale_block,,,
Sales,,,
Sales Turnover,,,
Saving,,,
Schedule Event,,,
Sec Email,,,
Secondary,,,
See stock details,,,
Send Email,,,
Send a notify email,,,
Send email,,,
Sequence,,,
Settings,,,
Shift to irrecoverable,,,
Shipment Mode,,,
Shipping Address,,,
Show all events,,,
Show all stock moves,,,
Show mail,,,
Specific notes,,,
Standard invoice,,,
State,,,
State is Missing in Address,,,
States,,,
Stock,,,
Stock config,,,
Subscription,,,
Subscription period,,,
Supplier,,,
Supplier catalog,,,
Supplier purchase,,,
Supplier refund,,,
Supply Chain config,,,
Task templates,,,
Tax,,,
The following address is invalid. Please use '+' button to create a new one :,,,
Title,,,
Tools,,,
Total A.T.I.,,,
Total Amount Remaining,,,
Total CGST,,,
Total IGST,,,
Total SGST,,,
Total W.T.,,,
Total tax,,,
Total variants,,,
Totals,,,
Totals company currency,,,
Tracking number,,,
Unit price W.T.,,,
Units,,,
Update lines with selected project,,,
Update products prices,,,
Update stock location,,,
Use Invoice Address as Shipping Address,,,
Used in DEB,,,
Used in DES,,,
Validate,,,
Validated Invocies,,,
Validated Invoices,,,
Valtilated Invoices,,,
Variants,,,
Ventilate,,,
Ventilate Invocies,,,
View Products,,,
View map,,,
WT amount in company currency,,,
"Watch out, an invoice was already created for this supplier invoice number.",,,
"Watch out, this partner has no active bank details",,,
Weekly planning,,,
"e.g. Building A, Entry 2, 2nd Floor, Door 2E",,,
"e.g. Financial department, CEO",,,
e.g. POB 254,,,
http://www.url.com,,,
invoiceLineMenu.status,,,
new Invoices,,,
product.code,,,
px,,,
type,,,
whatever@example.com,,,
"{{ {'1':'Remin._block','2':'Inv._block','3':'Reimb._block','4':'Debit_block','5':'Sale_block','6':'Purch._block'}[item.blockingSelect] }}",,,
